CEST,Temperatura maksymalnaC,Temperatura średniaC,Temperatura minimalnaC, Wydarzenia
2015-11-01,15,7,-1,
2015-11-02,12,7,1,
2015-11-03,11,4,-2,mgła
2015-11-04,9,3,-3,mgła
2015-11-05,4,2,1,
2015-11-06,1,1,1,
2015-11-07,9,4,1,mgła-deszcz
2015-11-08,16,11,7,mgła-deszcz
2015-11-09,12,8,4,mgła-deszcz
2015-11-10,14,12,9,deszcz
2015-11-11,15,14,13,deszcz
2015-11-12,12,10,9,deszcz
2015-11-13,10,8,6,mgła
2015-11-14,8,7,6,deszcz
2015-11-15,7,6,5,deszcz
2015-11-16,7,6,4,deszcz
2015-11-17,11,8,5,deszcz
2015-11-18,12,10,8,deszcz
2015-11-19,13,10,7,deszcz-burza z wyładowaniami
2015-11-20,8,6,4,mgła-deszcz
2015-11-21,6,4,3,mgła-deszcz
2015-11-22,4,2,1,mgła
2015-11-23,4,1,-2,śnieg
2015-11-24,1,-2,-5,śnieg
2015-11-25,2,-2,-5,
2015-11-26,0,-2,-3,
2015-11-27,-2,-4,-6,mgła-śnieg
2015-11-28,1,-2,-4,deszcz
2015-11-29,5,2,-1,deszcz-śnieg
2015-11-30,7,6,4,deszcz
2015-12-01,5,2,0,deszcz-śnieg
2015-12-02,5,3,1,deszcz
2015-12-03,9,7,4,deszcz
2015-12-04,9,7,4,deszcz
2015-12-05,9,7,5,
2015-12-06,11,9,7,
2015-12-07,11,7,2,mgła
2015-12-08,2,0,-3,mgła-deszcz
2015-12-09,5,3,2,mgła-deszcz
2015-12-10,6,2,-2,deszcz
2015-12-11,5,1,-3,deszcz
2015-12-12,5,4,4,deszcz
2015-12-13,8,5,2,deszcz
2015-12-14,2,0,-2,deszcz
2015-12-15,1,-1,-2,śnieg
2015-12-16,3,1,0,deszcz
2015-12-17,8,4,2,deszcz
2015-12-18,11,9,6,deszcz
2015-12-19,11,9,8,
2015-12-20,9,7,4,mgła
2015-12-21,8,4,1,deszcz
2015-12-22,11,8,6,deszcz
2015-12-23,14,11,9,
2015-12-24,8,4,0,
2015-12-25,10,4,-1,deszcz
2015-12-26,14,8,2,deszcz
2015-12-27,11,8,6,deszcz
2015-12-28,8,4,2,deszcz
2015-12-29,0,-3,-6,deszcz-śnieg
2015-12-30,-2,-4,-9,
2015-12-31,-1,-4,-8,
2016-01-01,-7,-9,-11,śnieg
2016-01-02,-9,-12,-14,śnieg
2016-01-03,-14,-16,-17,śnieg
2016-01-04,-11,-14,-17,
2016-01-05,-10,-13,-16,
